Nick	Overview	Name	Romanized Name	Nationality	Born	Status	Years Active (Player)	Years Active (Coach)	Years Active (Analyst)	Role	Team	Nicknames	Alternate IDs	Approx. Total Winnings	Games
morelz	"Piotr ""morelz"" Taterka (born July 28, 1994) is a Polish professional Counter-Strike: Global Offensive player."	Piotr Taterka		Poland	July 28, 1994 (age 29)	Active	2013 – Present			entry fragger	Pompa Team		morel, moleczi	$115,915	Global Offensive
mouz	"Mikołaj ""mouz"" Karolewski (born October 24, 1995) is a Polish professional Counter-Strike: Global Offensive player."	Mikołaj Karolewski		Poland	October 24, 1995 (age 27)	Active	2013 – Present			entry fragger			mouzinho, mouzinh0	$217,979	Global Offensive
Mride	"Michał ""Mride"" Idzikowski  is a Polish professional Counter-Strike: Global Offensive player."	Michał Idzikowski		Poland		Active	2020 – Present			Rifler				$3,981	Global Offensive
mSr	"Robert ""mSr"" Pieńkowski (born October 19, 1991) is a Polish professional Counter-Strike: Global Offensive coach and a former professional player."	Robert Pieńkowski		Poland	October 19, 1991 (age 31)	Active	2016 – 2018	2018 – Present		Coach				$452	Global Offensive
mwlky	"Łukasz ""mwlky"" Pachucki (born May 26, 2003) is a Polish professional Counter-Strike: Global Offensive player."	Łukasz Pachucki		Poland	May 26, 2003 (age 20)	Active	2019 – Present			AWPer	ORKS		MWLKY	$9,450	Global Offensive
mynio	"Wiktor ""mynio"" Kruk (born September 26, 1995) is a Polish professional Counter-Strike: Global Offensive player and a former professional Counter-Strike player."	Wiktor Kruk		Poland	September 26, 1995 (age 28)	Active	2012 – Present				9INE			$72,570	Global Offensive
n0tice	"Mateusz ""n0tice"" Wolniak (born March 9, 1999) is a Polish professional Counter-Strike: Global Offensive player."	Mateusz Wolniak		Poland	March  9, 1999 (age 24)	Active	2018 – Present			Rifler	LODIS			$11,687	Global Offensive
nawrot	"Piotr ""nawrot"" Nawrocki (born August 15, 1997) is a Polish professional Counter-Strike: Global Offensive coach and former player."	Piotr Nawrocki		Poland	August 15, 1997 (age 26)	Active	2017 – 2020, 2021 – 2022, 	2022 – Present		Coach	9INE			$15,099	Global Offensive
nestee	"Jakub ""nestee"" Lempart (born November 10, 2001) is a Polish professional Counter-Strike: Global Offensive player."	Jakub Lempart		Poland	November 10, 2001 (age 21)	Active	2020 – Present			Rifler				$7,063	Global Offensive
next1me	"Kacper ""next1me"" Parakowski (born August 1, 2004) is a Polish professional Counter-Strike: Global Offensive player."	Kacper Parakowski		Poland	August  1, 2004 (age 19)	Active	2021 – Present			AWPer			Miseraaa	$3,706	Global Offensive
OKOLICIOUZ	"Michał ""OKOLICIOUZ"" Głowaty (born February 28, 1997) is an inactive Polish professional Counter-Strike: Global Offensive player who currently lives in Germany."	Michał Głowaty		Poland	February 28, 1997 (age 26)	Inactive	2014 – 2022			entry fragger				$17,209	Global Offensive
olimp	"Patryk ""olimp"" Woźniak (born February 7, 2000) is a Polish professional Counter-Strike: Global Offensive player."	Patryk Woźniak		Poland	February  7, 2000 (age 23)	Active	2018 – Present			Rifler	ORKS		OLIMP, 6xDxP9	$16,047	Global Offensive
oskarish	"Oskar ""oskarish"" Stenborowski (born May 16, 1997) is a Polish-German professional Counter-Strike: Global Offensive player."	Oskar Stenborowski		Germany	May 16, 1997 (age 26)	Active	2014 – Present							$51,416	Global Offensive
phr	"Tomasz ""phr"" Wójcik (born September 26, 1996) is a Polish professional Counter-Strike: Global Offensive player."	Tomasz Wójcik		Poland	September 26, 1996 (age 27)	Active	2016 – Present						phromelo	$167,442	Global Offensive
POLO	"Jan ""POLO"" Polak (born September 2, 2000) is a Polish professional Counter-Strike: Global Offensive player."	Jan Polak		Poland	September  2, 2000 (age 23)	Active	2021 – Present			AWPer				$7,131	Global Offensive
ponczek	"Patryk ""ponczek"" Wites (born July 6, 1995) is a Polish professional Counter-Strike: Global Offensive analyst and former player."	Patryk Wites		Poland	July  6, 1995 (age 28)	Active	2015 – 2023		2023 – Present	Analyst	9INE			$40,338	Global Offensive
Prism	"Wojciech ""Prism"" Zięba (born April 28, 1998) is a Polish professional Counter-Strike: Global Offensive player."	Wojciech Zięba		Poland	April 28, 1998 (age 25)	Active	2018 – Present			Rifler				$14,972	Global Offensive
Qlocuu	"Konrad ""Qlocuu"" Klocek (born December 10, 2004) is a Polish professional Counter-Strike: Global Offensive player."	Konrad Klocek		Poland	December 10, 2004 (age 18)	Active	2020 – Present			Rifler				$7,240	Global Offensive
rallen	"Karol ""rallen"" Rodowicz (born June 8, 1994) is a Polish professional Counter-Strike: Global Offensive player."	Karol Rodowicz		Poland	June  8, 1994 (age 29)	Active	2014 – Present				Into The Breach			$302,183	Global Offensive
reatz	"Paweł ""reatz"" Jańczak (born December 19, 1994) is a Polish professional Counter-Strike: Global Offensive player."	Paweł Jańczak		Poland	December 19, 1994 (age 28)	Active	2014 – Present			Rifler				$106,528	Global Offensive
reiko	"Kamil ""reiko"" Cegiełko (born September 4, 1999) is a Polish professional Counter-Strike: Global Offensive player."	Kamil Cegiełko		Poland	September  4, 1999 (age 24)	Active	2017 – Present			Rifler	Anonymo Esports			$19,264	Global Offensive
repo	"Karol ""repo"" Cybulski (born April 18, 1998) is a Polish professional Counter-Strike: Global Offensive player."	Karol Cybulski		Poland	April 18, 1998 (age 25)	Active	2015 – Present			In-game leader				$13,087	Global Offensive
Riczi Maszynka	"Kacper ""Riczi Maszynka"" Benc (born June 1, 1997) is a Polish professional Counter-Strike: Global Offensive player."	Kacper Benc		Poland	June  1, 1997 (age 26)	Active	2018 – Present							$3,382	Global Offensive
SaMey	"Dawid ""SaMey"" Stańczak (born January 17, 2000) is a Polish professional Counter-Strike: Global Offensive player."	Dawid Stańczak		Poland	January 17, 2000 (age 23)	Active	2019 – Present			AWPer	Anonymo Esports			$6,706	Global Offensive
sany	"Rafał ""sany"" Pietrzak (born November 24, 1998) is a Polish professional Counter-Strike: Global Offensive player."	Rafał Pietrzak		Poland	November 24, 1998 (age 24)	Active	2014 – Present			Rifler				$6,210	Global Offensive
SAYN	"Adrian ""SAYN"" Łączyński (born June 20, 1999) is a Polish professional Counter-Strike: Global Offensive player."	Adrian Łączyński		Poland	June 20, 1999 (age 24)	Active	2017 – Present			AWPer				$16,157	Global Offensive
Sidney	"Patryk ""Sidney"" Korab (born June 9, 1998) is a Polish professional Counter-Strike: Global Offensive coach and former player."	Patryk Korab		Poland	June  9, 1998 (age 25)	Active	2016 – 2023	2023 – Present		Assistant Coach	AGO esports			$30,874	Global Offensive
siuhy	"Kamil ""siuhy"" Szkaradek (born August 26, 2002) is a Polish professional Counter-Strike: Global Offensive player."	Kamil Szkaradek		Poland	August 26, 2002 (age 21)	Active	2018 – Present				MOUZ			$151,052	Global Offensive
snatchie	"Michał ""snatchie"" Rudzki (born January 31, 1998) is a Polish professional Counter-Strike: Global Offensive player."	Michał Rudzki		Poland	January 31, 1998 (age 25)	Active	2012 – Present			AWPer	Entropiq		5n47ch	$141,243	Global Offensive
Snax	"Janusz ""Snax"" Pogorzelski (born July 5, 1993) is a Polish professional Counter-Strike: Global Offensive player. He is most known for being part of the Major-winning Polish Virtus.pro squad from January 2014 to June 2018."	Janusz Andrzej Pogorzelski		Poland	July  5, 1993 (age 30)	Active	2010 – Present				GamerLegion		snaxb0b	$679,702	Global Offensive
sNx	"Rafał ""sNx"" Snopek (born June 10, 2002) is a Polish professional Counter-Strike: Global Offensive player."	Rafał Snopek		Poland	June 10, 2002 (age 21)	Active	2020 – Present				ORKS			$15,689	Global Offensive
Sobol	"Kamil ""Sobol"" Sobolewski (born January 24, 1998) is a Polish professional Counter-Strike: Global Offensive player."	Kamil Sobolewski		Poland	January 24, 1998 (age 25)	Active	2016 – Present			Rifler	Anonymo Esports			$39,353	Global Offensive
splawik	"Łukasz ""splawik"" Jahns (born April 19, 2001) is a Polish professional Counter-Strike: Global Offensive coach and former player."	Łukasz Jahns		Poland	April 19, 2001 (age 22)	Active	2017 – 2022	2022 – Present		Coach			splaw1k	$2,183	Global Offensive
STOMP	"Daniel ""STOMP"" Płomiński (born December 28, 1994) is a Polish professional Counter-Strike: Global Offensive player."	Daniel Płomiński		Poland	December 28, 1994 (age 28)	Active	2016 – Present			AWPer			STOMPADRE	$38,373	Global Offensive
swiz	"Oliwier ""swiz"" Janus (born July 12, 2004) is a Polish professional Counter-Strike: Global Offensive player."	Oliwier Janus		Poland	July 12, 2004 (age 19)	Active	2021 – Present			Rifler				$2,909	Global Offensive
szejn	"`  Hubert ""szejn"" Światły (born January 4, 2002) is a Polish professional Counter-Strike: Global Offensive player."	Hubert Światły		Poland	January  4, 2002 (age 21)	Active	2017 – Present						SZEJN	$54,372	Global Offensive
SZPERO	"Grzegorz ""SZPERO"" Dziamałek (born June 6, 1991) is a Polish professional Counter-Strike: Global Offensive player and a former semi-professional Counter-Strike player."	Grzegorz Dziamałek		Poland	June  6, 1991 (age 32)	Active	2009 – Present			AWPer			GeroMan, GeRo, mgr lamaizd	$233,617	Global Offensive
TOAO	"Mateusz ""TOAO"" Zawistowski (born October 7, 1996) is a Polish professional Counter-Strike: Global Offensive player."	Mateusz Zawistowski		Poland	October  7, 1996 (age 27)	Active	2016 – Present						Tapczan	$94,360	Global Offensive
ToM223	"Tomasz ""ToM223"" Richter (born April 10, 1998) is an inactive Polish professional Counter-Strike: Global Offensive player."	Tomasz Richter		Poland	April 10, 1998 (age 25)	Inactive	2016 – 2018							$20,322	Global Offensive
tomiko	"Tomasz ""tomiko"" Uroda (born March 22, 2004) is a Polish professional Counter-Strike: Global Offensive player."	Tomasz Uroda		Poland	March 22, 2004 (age 19)	Active	2020 – Present			Rifler	Permitta Esports			$17,113	Global Offensive
trochu	"Maksymilian ""trochu"" Trocha (born September 17, 1996) is a Polish professional Counter-Strike: Global Offensive analyst and former player and coach."	Maksymilian Trocha		Poland	September 17, 1996 (age 27)	Active	2016 – 2021	2021	2021 – Present	Analyst	ENCE			$449	Global Offensive
tudsoN	"Filip ""tudsoN"" Tudev (born March 10, 2000) is a Polish-Mongolian professional Counter-Strike: Global Offensive player. He currently resides in the United Kingdom and is the younger brother of soren."	Filip Tudev		Mongolia	March 10, 2000 (age 23)	Active	2017 – Present			AWPer			tudson2k, TUDSON	$15,408	Global Offensive
turtle	"Mikołaj ""turtle"" Dziedzic (born March 2, 1999) is a Polish professional Counter-Strike: Global Offensive coach."	Mikołaj Leonard Dziedzic		Poland	March  2, 1999 (age 24)	Active		2022 – Present		Coach	ORKS				Global Offensive
ultimate	"Roland ""ultimate"" Tomkowiak (born November 29, 2003) is a Polish professional Counter-Strike: Global Offensive player."	Roland Tomkowiak		Poland	November 29, 2003 (age 19)	Active	2020 – Present			AWPer				$8,474	Global Offensive
Vegi	"Arek ""Vegi"" Nawojski (born May 19, 2000) is a Polish professional Counter-Strike: Global Offensive player."	Arkadiusz Nawojski		Poland	May 19, 2000 (age 23)	Active	2017 – Present			Rifler	ORKS		Vegi1337	$63,495	Global Offensive
vicu	"Wiktoria ""vicu"" Janicka (born November 12, 2002) is a Polish professional Counter-Strike: Global Offensive player."	Wiktoria Janicka		Poland	November 12, 2002 (age 20)	Active	2020 – Present			AWPer	NAVI Javelins		vicuu	$16,975	Global Offensive
vinS	"Vincent ""vinS"" Jozefiak (born September 25, 1998) is a Polish professional Counter-Strike: Global Offensive coach."	Vincent Jozefiak		Poland	September 25, 1998 (age 25)	Active		2018 – Present		Coach	Anonymo Esports		VinS		Global Offensive
virtuoso	"Karol ""virtuoso"" Wrześniewski (born March 27, 2002) is a Polish professional Counter-Strike: Global Offensive player."	Karol Wrześniewski		Poland	March 27, 2002 (age 21)	Active	2021 – Present			Rifler	Anonymo Esports			$5,740	Global Offensive
zaNNN	"Błażej ""zaNNN"" Bączkowski (born November 17, 2001) is a Polish professional Counter-Strike: Global Offensive player."	Błażej Bączkowski		Poland	November 17, 2001 (age 21)	Active	2018 – Present			Rifler				$8,595	Global Offensive
Ag1l	"André ""Ag1l"" Gil (born March 2, 2003) is a Portuguese professional Counter-Strike: Global Offensive player for For The Win Esports."	André Gil		Portugal	March  2, 2003 (age 20)	Active	2019 – Present			Rifler	For The Win Esports		ag1L	$17,709	Global Offensive
Aida	"Aida ""Aida"" Simão (born May 6, 2001) is a Portuguese professional Counter-Strike: Global Offensive player."	Aida Mariana Ribeiro Pinto Simão		Portugal	May  6, 2001 (age 22)	Active	2016 – Present				BIG EQUIPA		Aidaaa, D3rps, Heda	$4,742	
AIm	"Ricardo ""AIm"" Almeida (born July 6, 1986) is a Portuguese professional Counter-Strike: Global Offensive coach and former professional Counter-Strike: Global Offensive player."	Ricardo Almeida		Portugal	July  6, 1986 (age 37)	Active	2012 – 2017	2018 – Present		Coach				$1,182	Global Offensive
aragornN	"António ""aragornN"" Barbosa (born May 23, 2002) is a Portuguese professional Counter-Strike: Global Offensive player."	António Barbosa		Portugal	May 23, 2002 (age 21)	Active	2020 – Present			Rifler				$3,575	Global Offensive
arrozdoce	"Rafael ""arrozdoce"" Wing (born July 2, 2002) is a Portuguese professional Counter-Strike: Global Offensive player."	Rafael Wing		Portugal	July  2, 2002 (age 21)	Active	2019 – Present			Rifler	SAW		junior, penislaw	$35,017	Global Offensive
BLOODZ	"Bruno ""BLOODZ"" Mourão (born April 30, 1993) is a Portuguese professional Counter-Strike: Global Offensive player."	Bruno Mourão de Sousa		Portugal	April 30, 1993 (age 30)	Active	2015 – Present						bloodz	$15,273	Global Offensive
BuJ	"Fábio ""BuJ"" Ferreira (born February 5, 1989) is a Portuguese professional Counter-Strike: Global Offensive player."	Fábio Ferreira		Portugal	February  5, 1989 (age 34)	Active	2015 – Present			AWPer				$7,314	Global Offensive
CarboN	"Guilherme ""CarboN"" Bastos (born April 28, 1995) is a Portuguese professional Counter-Strike: Global Offensive player."	Guilherme Bastos		Portugal	April 28, 1995 (age 28)	Active	2018 – Present							$3,251	Global Offensive
coachi	"Hélder ""coachi"" Sancho (born June 25, 1987) is a Portuguese-Brazilian professional Counter-Strike: Global Offensive coach and former professional Counter-Strike and Counter-Strike: Global Offensive player. He played in the Iberian region for the entirety of his career, most notably under Portuguese organization k1ck eSports Club on two occasions. Additionally, he played under Spanish team x6tence for three months. After retiring in 2013, coachi returned to the Counter-Strike: Global Offensive scene as coach and manager of Sharks Esports."	Hélder Sancho		Brazil	June 25, 1987 (age 36)	Active	2007 – 2013	2017 – Present			Sharks Esports			$2,743	Global Offensive
D10S	"Cristiano ""D10S"" Carvalho (born September 15, 2001) is a Portuguese professional Counter-Strike: Global Offensive coach."	Cristiano Marques Sá Carvalho		Portugal	September 15, 2001 (age 22)	Active		2020 – Present		Coach	Filhos de D10S			$250	Global Offensive
D7	"Marta ""D7"" Barreira (born August 18, 2000) is a Portuguese professional Counter-Strike: Global Offensive player."	Marta Sofia Asensio Barreira		Portugal	August 18, 2000 (age 23)	Active	2016 – Present			Rifler	BIG EQUIPA		D7_KC, D7KC	$5,634	
