Name	Romanized Name	Nationality	Born	Status	Years Active (Player)	Years Active (Coach)	Years Active (Analyst)	Role	Team	Nicknames	Alternate IDs	Approx. Total Winnings	Games
तेजस सावंत	Tejas Sawant	India	August 13, 1993 (age 30)	Active	2014 – 2020, 2023 – Present			Rifler			rite2ace, iBRA	$16,872	Global Offensive
Piyush Kalwania		India	November  4, 1999 (age 23)	Active	2018 – Present			entry fragger	Gods Reign			$14,171	Global Offensive
Hrishikesh Shenoy		India	April 19, 1998 (age 25)	Active	2020 – Present			In-game leader	Gods Reign			$14,074	Global Offensive
Ritesh Sarda		India	July 11, 1999 (age 24)	Active	2019 – Present			In-game leader	Marcos Gaming		DEFAULT3R	$7,657	Global Offensive
Garvit Nehra		India	May 19, 1998 (age 25)	Active	2016 – 2021, 2023 – Present			support	Gods Reign			$3,616	Global Offensive
Harsh Jain		India	September 23, 2001 (age 22)	Active	2017 – Present			AWPer	Revenant Esports			$10,976	Global Offensive
Aakash Bose		India	June  9, 2003 (age 20)	Active	2021 – Present			entry fragger	Gods Reign			$13,516	Global Offensive
Parijit Banerjee		India	July 21, 1999 (age 24)	Active	2021 – Present			AWPer	Gods Reign			$13,763	Global Offensive
Kiran Rudresh		India	September  3, 1998 (age 25)	Active	2017 – 2022, 2023 – Present			entry fragger	Marcos Gaming			$10,346	Global Offensive
Sadab Khan		India	December 12, 2000 (age 22)	Active	2016 – Present			support			SKw0w	$11,481	Global Offensive
Jaspreet Singh		India	October 17, 1997 (age 25)	Active	2016 – Present			In-game leader	Revenant Esports			$12,041	Global Offensive
Hansel Ferdinand		Indonesia	August 28, 1995 (age 28)	Active	2012 – Present				Team NKT		大哥, 老六, 本泰特	$192,095	Global Offensive
Muhammad Ridzuan Hazi		Malaysia	March 13, 1999 (age 24)	Active	2016 – 2019, 2023 – Present			support				$9,827	Global Offensive
Aisya Sabrina		Malaysia	March 28, 1998 (age 25)	Active	2018 – Present				HSG			$10,250	Global Offensive
Iman Jeffery		Malaysia	February 23, 1999 (age 24)	Active	2015 – 2022, 2023 – Present				Medal Esports			$9,985	Global Offensive
Ramona Azween Binti Zaharuddin		Malaysia	May 25, 1989 (age 34)	Active	2009 – Present				HSG		GFi#, gfi	$12,803	Global Offensive
	Andrew Khong Weng Keong	Malaysia	July 22, 1994 (age 29)	Active	2010 – Present			AWPer	TYLOO		celeste	$108,981	Global Offensive
Kimberly Nelson		Malaysia	September 15, 1997 (age 26)	Active	2020 – 2021, 2022 – Present				Hyperion			$3,292	Global Offensive
Банзрагчийн Өсөхбаяр	Usukhbayar Banzragch	Mongolia		Active	2022 – Present			AWPer	The MongolZ		91O	$5,686	Global Offensive
Нямдоржийн Түвшинтөгс	Tuvshintugs Nyamdorj	Mongolia	January 25, 2000 (age 23)	Active	2018 – Present			AWPer			Annihilation, anhil	$33,793	Global Offensive
Батболдын Баатархүү	Baatarkhuu Batbold	Mongolia	May 29, 2004 (age 19)	Active	2020 – Present			Rifler	Tsetsegchid			$23,800	Global Offensive
Арцсэдийн Хурц	Khurts Artssed	Mongolia	November 10, 1990 (age 32)	Active	2013 – 2016	2018 – Present		Coach	Eruption			$41	Global Offensive
Бямбасүрэнгийн Гарьдмагнай	Garidmagnai Byambasuren	Mongolia	June 26, 2001 (age 22)	Active	2020 – Present				The MongolZ			$40,834	Global Offensive
Батбаатарын Содбилэг	Sodbileg Batbaatar	Mongolia	June 11, 2002 (age 21)	Active	2018 – Present				ATOX Esports			$18,792	Global Offensive
Батболдын Ган-Эрдэнэ	Gan-Erdene Batbold	Mongolia	March 13, 1999 (age 24)	Active	2016 – Present			Rifler	ATOX Esports			$62,528	Global Offensive
Гантулгын Эрдэнэцогт	Erdenetsogt Gantulga	Mongolia	March 19, 1995 (age 28)	Active	2016 – 2021, 2022 – Present				Team NKT		erkast, erk4st	$69,640	Global Offensive
Ганбаатарын Даваасүрэн	Davaasuren Ganbaatar	Mongolia	December  7, 1998 (age 24)	Active	2019 – Present			Rifler	Eruption			$5,460	Global Offensive
Жигжидсүрэнгийн Сэргэлэн	Sergelen Jigjidsuren	Mongolia	May 16, 1996 (age 27)	Active	2017 – Present			Rifler				$7,205	Global Offensive
Баярмаагийн Чингүүн	Chinguun Bayarmaa	Mongolia	July 19, 1998 (age 25)	Active	2016 – Present			Rifler				$17,221	Global Offensive
Баатархүү Батсуурь	Batsuuri Baatarkhuu	Mongolia	November  6, 1982 (age 40)	Active		2021 – Present		Coach					Global Offensive
Батбаярын Бат-Энх	Bat-Enkh Batbayar	Mongolia	June  1, 1995 (age 28)	Active	2016 – Present			Rifler	ATOX Esports		kabie	$74,250	Global Offensive
Баянбатын Эрдэнэдалай	Erdenedalai Bayanbat	Mongolia	April 13, 1990 (age 33)	Active	2015 – 2020	2016 2017 – 2018, 2020 – Present		Coach	The MongolZ			$4,750	Global Offensive
Лхагвагийн Энхтайван	Enkhtaivan Lkhagva	Mongolia	February 28, 1990 (age 33)	Active	2015 – 2022	2023 – Present		Coach				$21,008	Global Offensive
Хүрэлхүүгийн Тэлмэн	Telmen Khurelkhuu	Mongolia	April 24, 2001 (age 22)	Active	2019 – Present			AWPer	Eruption		Magnumz	$3,635	Global Offensive
Бямбадалайгийн Тэмүүлэн	Temuulen Byambadalai	Mongolia	February 18, 2003 (age 20)	Active	2021 – Present			Rifler	ATOX Esports			$4,553	Global Offensive
Ганболдын Энх-Амгалан	Enkh-Amgalan Ganbold	Mongolia		Active	2018 – Present			Rifler			enkule	$4,301	Global Offensive
Батболдын Аюуш	Ayush Batbold	Mongolia		Active	2020 – Present			Rifler	The MongolZ			$3,825	Global Offensive
Батсүхийн Болд	Bold Batsukh	Mongolia	December 14, 1994 (age 28)	Active	2015 – 2023	2023 – Present		Assistant Coach				$33,833	Global Offensive
Ням-Отгоны Ууганбаяр	Uuganbayar Nyam-Otgon	Mongolia	October 12, 1999 (age 23)	Active	2017 – Present			Rifler	Eruption		neuz, noiz, dragoneuz	$15,468	Global Offensive
Гантулгын Есөнтөмөр	Yesuntumur Gantulga	Mongolia	April  3, 1998 (age 25)	Active	2017 – Present			AWPer	Team NKT			$35,308	Global Offensive
Туулын Ирмүүн	Irmuun Tuul	Mongolia		Active	2016 – Present						PRISM2GETA	$628	Global Offensive
Болдбаатарын Тэнгис	Tengis Boldbaatar	Mongolia	October  2, 2002 (age 21)	Active	2017 – Present			Rifler	Tsetsegchid			$23,100	Global Offensive
Золбаярын Ундрахбаяр	Undrakhbayar Zolbayar	Mongolia	May 26, 2000 (age 23)	Active	2018 – Present			Rifler	Eruption			$6,855	Global Offensive
Мөнхболдын Азбаяр	Azbayar Munkhbold	Mongolia	August 11, 2006 (age 17)	Active	2019 – Present			Rifler	The MongolZ		Senzu-, senzu	$7,397	Global Offensive
Батзоригийн Тэлмэн	Telmen Batzorig	Mongolia	March  5, 1994 (age 29)	Active	2017 – Present			Rifler				$17,857	Global Offensive
Батжаргалын Тэнгис	Tengis Batjargal	Mongolia	May 12, 2002 (age 21)	Active	2018 – Present			Rifler	TYLOO			$35,984	Global Offensive
Ганбаатарын Мөнхтамир	Munkhtamir Ganbaatar	Mongolia	March 11, 1994 (age 29)	Active	2015 – Present				D13		Tamiraa, Tamiraarita	$18,848	Global Offensive
Мөнхболдын Содбаяр	Sodbayar Munkhbold	Mongolia	May 20, 2005 (age 18)	Active	2019 – Present			Rifler	The MongolZ		Techno	$39,523	Global Offensive
Машбатын Цог	Tsog Mashbat	Mongolia	May 30, 1994 (age 29)	Active	2015 – Present				Tsetsegchid			$27,490	Global Offensive
Батбаяр Энхманлай	Enkhmanlai Batbayar	Mongolia		Active	2017 – Present	2020 – Present		Coach	D13		world	$1,617	Global Offensive
Мөнхтогтох Энхбатын	Enkhbat Munkhtogtokh	Mongolia	May  3, 2003 (age 20)	Active	2020 - Present				Team NKT		kuntae	$10,286	Global Offensive
Оюунбилэгийн Ялалт	Yalalt Oyunbileg	Mongolia	February  3, 2005 (age 18)	Active	2019 – Present			Rifler	ATOX Esports			$10,201	Global Offensive
Баттулгын Тэмүүлэн	Temuulen Battulga	Mongolia	March 13, 1991 (age 32)	Active	2014 – Present			AWPer				$22,817	Global Offensive
Khizar Rehman		United States	May 20, 2002 (age 21)	Active	2018 – Present			Rifler			MoMo	$12,787	Global Offensive
Saad Siraj		Canada	January  6, 1997 (age 26)	Active	2020 – Present			Rifler	WITHOUTWARNING			$10,756	Global Offensive
	Saad Ahmed	Pakistan	April 15, 1998 (age 25)	Active	2018 – Present	2023 – Present		Coach	Gods Reign		Pokemon	$10,336	Global Offensive
Anas Ayub		Pakistan		Inactive	2017 – 2022			Rifler				$3,443	Global Offensive
이현표	Lee Hyun-pyo	South Korea	March 26, 1997 (age 26)	Active	2014 – Present			Rifler	Team NKT		X1gN	$98,148	Global Offensive
陳子岸	Chen Tzu-an	Taiwan	July 29, 1989 (age 34)	Active	2007 – 2020, 2021 - Present			AWPer	OS E-sports		太陽的兒子mMm, 賽德瑞克mMm, cedrikmMm, DDmMm	$5,852	Global Offensive
卓子翔	Cho Tzu-hsiang	Taiwan	November 18, 2002 (age 20)	Active	2017 – Present			Rifler	OS E-sports		Flyking, 飛王, 飛弟, JVE	$1,908	Global Offensive
陳頌杰	Chen Sung-chieh	Taiwan		Active	2016 – Present			Rifler	OS E-sports		hrrr, 小藍天, hoocreyy	$5,714	Global Offensive
黃梓旂	Huang Tzu-chi	Taiwan	August 22, 1993 (age 30)	Active	2014 – Present						Marek77, 小7	$25,893	Global Offensive
Đỗ Hoàng Hiệp		Vietnam	September 18, 1996 (age 27)	Active	2016 – 2019, 2021 – Present				1820HT		Oliveira	$1,962	Global Offensive
بيبو عادل	Bebu Aadil	Italy	January 10, 2002 (age 21)	Active	2018 – Present			Rifler	GenOne		Bibu, b1bu	$29,824	Global Offensive
	Ahmed Hayder	Iraq	September 13, 1994 (age 29)	Active	2015 – Present			In-game leader				$10,964	Global Offensive
يوسف فدوس	Yousif Fadaws	Iraq	April  1, 1998 (age 25)	Active	2016 – Present			entry fragger				$6,499	Global Offensive
	Ali Al-Kadhimi	Iraq		Active	2016 – Present			Rifler				$6,499	Global Offensive
امیر بافنده	Amir Bafandeh	Iran		Active	2018 – Present			AWPer	Hamishegi Esports			$5,027	Global Offensive
גיא טרכטמן	Guy Trachtman	Israel	November  8, 1999 (age 23)	Active	2016 – Present			AWPer	Dynamo Eclot		anarky	$63,306	Global Offensive
מעוז פז	Maoz Paz	Israel	October 10, 2000 (age 23)	Active	2017 – Present			Rifler				$4,341	Global Offensive
שי גרו	Shay Gro	Israel	October 15, 1994 (age 28)	Active		2016 – Present		Coach					Global Offensive
שחר שושן	Shahar Shushan	Israel	June 22, 2003 (age 20)	Active	2017 – Present			entry fragger	Team Vitality			$234,387	Global Offensive
ניקיטה מרטיננקו	Nikita Martynenko	Ukraine	July 24, 2002 (age 21)	Active	2018 – Present			Rifler	Endpoint		HeavyGoD, HeavyGodd	$13,590	Global Offensive
אנטון סבירידון	Anton Sviridon	Israel	March 15, 1996 (age 27)	retired	2017 – 2020							$3,137	Global Offensive
גל שמולביץ	Gal Shmulevich	Israel	November 17, 2000 (age 22)	Active	2015 – 2018, 2021 – Present			entry fragger				$1,555	Global Offensive
טל חחיאשוילי	Tal Hahiashvili	Israel	October  4, 2000 (age 23)	Active	2018 – Present			Rifler				$3,492	Global Offensive
מורי מזרחי	Mori Mizrahi	Israel	November 11, 1998 (age 24)	Active	2018 – Present							$1,340	Global Offensive
גיא אילוז	Guy Iluz	Israel	July 12, 1999 (age 24)	Active	2015 – Present			Rifler	ENCE		Nertz	$151,955	Global Offensive
שירן שושן	Shiran Shushan	Israel	April 16, 1997 (age 26)	Active	2017 – Present			AWPer				$14,233	Global Offensive
לוטן גלעדי	Lotan Giladi	Israel	September 13, 2000 (age 23)	Active	2019 – Present			lurker	Team Vitality			$427,158	Global Offensive
דניאל קוגן	Daniel Kogan	Israel	November 24, 1999 (age 23)	Active		2015 – Present	2019 – 2020	Coach					Global Offensive
דוריאן ברמן	Dorian Berman	Israel	July 22, 2004 (age 19)	Active	2018 – Present			entry fragger	MOUZ		xertioNN, xertionic	$141,085	Global Offensive
רועי קמחי	Roey Kimhi	Israel	October 13, 2000 (age 22)	Retired	2017 – 2020			In-game leader				$4,276	Global Offensive
عمر عليان	Omar Elyyan	Jordan	April 30, 1998 (age 25)	Active	2017 – Present			Rifler			3ARKOOZ	$13,848	Global Offensive
	Mohammad Malhas	Jordan	May  4, 2004 (age 19)	Active	2019 – Present			Rifler	Team Falcons			$66,298	Global Offensive
	Omar Aldaradkeh	Jordan	March 27, 1997 (age 26)	Inactive	2016 – 2020			In-game leader				$2,043	Global Offensive
عبد الرحمان عربيات	Abd-Alrahman Arabiat	Jordan	March 23, 1999 (age 24)	Active	2015 – Present			AWPer			REALIZE	$7,145	Global Offensive
محمد أحمد عيسى العدوان	Mohammad Ahmad Issa Al-Adwan	Jordan		Retired	2015 – 2021							$2,774	Global Offensive
هسين شهاب	Hsein Chehab	Lebanon		Active	2017 – Present			entry fragger				$8,187	Global Offensive
عمر الجبوري	Omar Jabbouri	Lebanon		Inactive	2016 – 2020			Rifler				$5,277	Global Offensive
حسين حجازي	Hussein Hijazi	Lebanon	September 17, 2004 (age 19)	Active	2020 – Present			Rifler				$834	Global Offensive
بلال شِهاب	Bilal Chehab	Lebanon	December  4, 2000 (age 22)	Active	2017 – Present			Rifler			Senpaiii	$5,853	Global Offensive
مهند عبد الله	Mohannad Abdullah	Saudi Arabia		Retired	2015 – 2018, 2020 – 2021, 						Ninjaspb	$10,815	Global Offensive
	Malhan Albusayyes	Saudi Arabia	April 15, 1998 (age 25)	Active	2017 – Present			lurker				$23,713	Global Offensive
Aidan Vorster		South Africa	May 15, 2003 (age 20)	Active	2020 – Present			Rifler	Goliath Gaming		exe	$6,368	Global Offensive
Tyler Oliver		South Africa	December  3, 1999 (age 23)	Active	2017 – Present			Rifler				$7,204	Global Offensive
Shannon Corran		South Africa	July 14, 1999 (age 24)	Active	2018 – 2020, 2020 – Present			In-game leader	Goliath Gaming			$5,217	Global Offensive
Josh Saunders		South Africa	March 16, 1998 (age 25)	Active	2017 – Present			Rifler	Nixuh			$20,284	Global Offensive
Andreas Hadjipaschali		South Africa	April 11, 1987 (age 36)	Active	2006 – 2019	2015 – 2016			Bravado Gaming			$400	Global Offensive
Leander van Schalkwyk		South Africa	February 26, 1997 (age 26)	Active	2016 – Present				KitsuneZA Esports			$3,231	Global Offensive
Dimitri Hadjipaschali		South Africa	October 31, 1990 (age 32)	Active	2014 – 2019, 2021 – 2021, 				Bravado Gaming			$44,492	Global Offensive
Richard Groves		South Africa	July 13, 1988 (age 35)	Active	2014 – Present							$8,636	Global Offensive
Johnathan Fox		South Africa	March 21, 2000 (age 23)	Active	2018 – Present				Bravado Gaming			$13,144	Global Offensive
Ben Normand		South Africa	October 11, 1999 (age 24)	Active	2020 – Present			lurker				$2,426	Global Offensive
Nico Devonport		South Africa	June 30, 1996 (age 27)	Active	2017 – Present			AWPer				$9,902	Global Offensive
Dylan Vorster		South Africa	May 29, 1998 (age 25)	Active	2016 – Present			Rifler	VYBN			$7,888	Global Offensive
Ruan van Wyk		South Africa	April 30, 1993 (age 30)	Active	2014 – 2019, 2020 – Present	2019						$39,955	Global Offensive
Tyrone Lautre		South Africa		Active	2004 – 2018, 2021 – Present							$7,877	
Rhys Armstrong		South Africa	May  9, 1998 (age 25)	Active	2015 – Present			Rifler	Nixuh			$63,577	Global Offensive
Rieghardt Romatzki		South Africa	October 21, 1999 (age 23)	Active	2016 – Present			Rifler	Nixuh			$26,913	Global Offensive
Michael van der Walt		South Africa	June 20, 2003 (age 20)	Active	2018 – Present			AWPer	Nixuh			$6,340	Global Offensive
Dean Seyfried		South Africa	October  9, 1991 (age 32)	Active	2014 – Present							$6,343	Global Offensive
Ioannis Theodosiou		Portugal	April  9, 1999 (age 24)	Active	2015 – Present				Complexity Gaming			$168,457	Global Offensive
Trevor Morley		South Africa	November 11, 1993 (age 29)	Active	2015 – Present						kaNibalistic	$25,726	Global Offensive
Jean Herbst		South Africa	August  6, 1990 (age 33)	Active	2014 – Present							$7,154	Global Offensive
Marchahn Smith		South Africa	June 26, 2001 (age 22)	Active	2018 – Present			entry fragger	Bravado Gaming		disTroiT	$5,214	Global Offensive
Dean Davids		South Africa	December 20, 2000 (age 22)	Active	2016 – Present			Rifler				$11,406	Global Offensive
Gareth Ries		United Kingdom	November  9, 2001 (age 21)	Active	2017 – Present				Limitless			$45,597	Global Offensive
Max Lithgow		South Africa	November 22, 2002 (age 20)	Active	2018 – Present			Rifler				$2,046	Global Offensive
Ruben Enslin		South Africa	March  1, 1999 (age 24)	Active	2019 – Present				VYBN			$3,623	Global Offensive
Dustin Peacock		South Africa	February 12, 2001 (age 22)	Active	2020 – 2021, 2021 – Present			In-game leader	Nixuh			$3,316	Global Offensive
Adam Schultz		South Africa	March 17, 2003 (age 20)	Active	2022 – Present			Rifler	Goliath Gaming			$2,787	Global Offensive
Aaron Van Der Walt		South Africa	March 13, 1994 (age 29)	Active	2017 – Present			AWPer	Bravado Gaming			$17,641	Global Offensive
Aran Groesbeek		South Africa	December  2, 1998 (age 24)	Active	2014 – Present				Bad News Bears			$121,639	Global Offensive
Tiaan Coertzen		South Africa	August 23, 1992 (age 31)	Active	2014 – 2016	2016 – Present		Coach	Complexity Gaming			$1,437	Global Offensive
Jan Theron		South Africa		Active	2015 – Present			entry fragger				$17,262	Global Offensive
Shaun Deyzel		South Africa	January 29, 1996 (age 27)	Active	2017 – Present			Rifler	VYBN		TheMan	$13,578	Global Offensive
Tiaan Rheeder		South Africa	March 24, 1995 (age 28)	Active	2015 – Present			Rifler				$6,775	Global Offensive
Tristan Fuller		South Africa		Active	2019 – Present			AWPer	Goliath Gaming		Wildheart	$3,362	Global Offensive
Kian Gibson		South Africa	December  4, 2002 (age 20)	Active	2021 – Present			Rifler	Bravado Gaming			$7,928	Global Offensive
Robert Butler		South Africa	December 10, 2001 (age 21)	Active	2021 – Present			Rifler	Goliath Gaming			$3,820	Global Offensive
Wiljahne Smith		South Africa	April 22, 2004 (age 19)	Active	2019 – Present			lurker	Bravado Gaming		mango	$11,875	Global Offensive
Willie Steyn		South Africa	November 26, 1998 (age 24)	Active	2019 – Present			Rifler	VYBN		Wip3ouT	$8,252	Global Offensive
Rikus Klue		South Africa	March  7, 1996 (age 27)	Active	2015 – Present			lurker			Klue	$10,151	Global Offensive
